OTU,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_99,avg_166,avg_365
932153,1,0.8,0.5,399.4,0.8,19.4,2,249,0.4,0,0.6
561099,0,0,0,16.6,0,4.2,0,0,0,0,0
227112,0,0,0,23,0,1.2,0,0,0,0,0
896098,0,0,0,0,0,1.4,0,0,0,0,0
919627,0,0,0,0,0,44,0,0,0,0,0
101031,0,0,0,0,0.8,0,0,0,0,0,0
1139946,0,0,0,40.6,39.8,25.4,121,64,0.2,0,0.4
429841,0,0,0,0,0,0.4,0,0,0,0,0
3427116,0.4,0.4,0,0.2,0,0,0.666666667,0,0,3.333333333,0
151117,0,0.2,0,0,0,3.8,0,0,0,0,0
4438548,0,0,0,0,0,0,0,0,0,0,0
99774,0,0,8,0,20,1,0,0,1.6,0,0
626519,0,0,0,0,0,0,0,0,0,0,0
99956,0,0,0,0,0,0,0,0,5.6,0,0.4
1122504,0,0,0,0,11.8,3.2,19,0,0,0,0
921687,0,0,0,68,1,0,0,0,0,0,0
3642506,0,0,0.5,1,63.4,0.4,3.666666667,8.8,5.8,2.666666667,6.4
736520,0,0,30.25,1,49,8,311,188.4,81.6,490.6666667,38
771274,0,0,0,0,0,348.8,164.3333333,24.2,0,0,0
536765,0,0.2,0,3.4,0,10.8,11.66666667,0.2,0.8,0,104.2
854930,0,0,0.25,0,0,21.4,2,4.2,42.2,38.33333333,30
27005,0,0,0,0,0,0,0,0,13.8,0,1.6
4377486,0,0,0,0,0,0,0,0,1.8,0,10.4
4043609,0.2,0,0.25,3.6,2.4,2.6,3,127.4,142.2,27.33333333,62.6
570086,0,0,0,0,0,0,20,10,0,0,0
2255,0,0,0,11,0,1.8,0,0,0,0,0
3995174,0,0,0,0,0,0,0,0.2,2.8,0,106
1087471,0,0,0,0,0,0,0,0,0,0,8.2
1006382,0,0,0,0,0,0,0,0,6.6,0,34.2
4477202,0,0,0,0,0,2,0,9.2,8.6,0,4.4
4342317,0,0,0,0,0,0,0,0,3.6,0,0
1086554,0,0,0,0,0,0,0,0,8.8,0,5.2
4377483,0,0,0,0,0,0,0,3.2,1.4,0,3
706656,0,0,0,0,15.6,0.4,0,0,14.4,0,22.8
134018,0,0,0,0,0,0,450,0,0,0,0
356639,0,0,0,0,0,0,45,0,0,0,0
944401,0,0,0,5.8,0,0,0,0,0,0,0
826144,0.2,0,0,0,2.4,0.2,0,1.4,59.6,0,0
1102477,0,0,0,0,0,0,0,0,0,0,0
1038865,0,0,0,0,0,0,0,0,10.8,0,0
1109260,0,0,0,0,0,0,0,0,0,0,26
4391549,0,0.2,0,0,0,0,0,0,0,0,0
575305,0,0,0,0.2,0,0,0,0,1,0,0
4320526,0,0,0,0,0,0,0,0,0,0,0
128353,0,0,0,0,0,0,0,1,1.8,0,0
982540,0,0,0,0,0,0,0,0,0,0,0
567236,0,0,0,0,0,0,0,0,0,0,0
221402,0,0,0,0,0,0,0,0,93.4,0,0
810109,0,0,0,0,0,0,0,0,12.4,0,0
