,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_365
4451482,0,16,21.2,44.2,48.2,75.8,33.75,128,38.1
744835,0,0,0,0.2,0,0,0,0.4,0.1
137609,0,22.4,16.8,5.8,16.4,9.4,2.75,2,2.7
4380971,0,0.2,0,0,2.8,0.4,0,0,0.6
4337815,0,0.2,1,0,2,0.8,0,0,0
106334,0,63.2,59.8,18.8,88.6,35,7.75,10.4,10.8
540856,0,0,0,0,0,0,0,0,0
103132,0,0.6,2.8,0.2,1,0.6,0.5,0.6,0.5
741139,1.2,28.6,43.8,57.6,26.4,114.2,151.25,132,10.4
590450,0,0,0,0.6,3.4,0.6,1.5,0,7.4
545324,0,0,3.6,0,2.4,1,0,0,4.1
4298398,0,0.2,7.4,3.6,17,7.6,37.5,3.6,26.6
1136403,0,0.4,2.8,2.4,9.8,2.4,19.75,3,14.1
328917,0,0,0,0,0,0,0,0,0
859868,0,0,0,0.2,0,0,0.25,2.4,2.6
593138,0,4.2,3.2,13.6,4,20,16.5,13,2
563768,0,0,0,0,0.2,0,2.75,0,0
104893,0,0,0,0,2,0,1.75,0,0
543895,0,0,0,0,0,0,0,0.2,0
151868,0,0,0,0,1.6,0.2,0.75,7.8,0.3
934094,0,0,0,0,0,0,0,0,0.5
2207032,0,0,0,0,0,0,0,0,0
834677,0,0,0,0,0,0,0,0,0
640055,0,0,0,0,0,0,0,0,0
211795,0,0,2.4,0,0,0.2,0,0.2,0
115012,0,4.4,5.4,73,223,76.2,30.25,25,1.6
1089636,0,43.2,139.8,246.2,164.8,144,66,138.2,25.4
564026,0,118.4,50.6,139.4,279.2,147.4,70.5,92,28.2
4390330,0,73.6,44.2,94.2,123,77,49,35.4,7.3
716984,0,3.4,0.4,5.6,8.8,17.8,1.75,6,1
629486,0,0,0,3,3,6.4,2.75,0.4,0.1
718320,0,0,0,14.2,0,16.8,0.75,5.2,1
515774,0,0,0,0,0.6,3.2,4.25,1,0
308136,0,0,10.4,6.2,13.2,5,0,0,0.2
552035,0,0,0,1.4,3.4,5,5.5,6.8,0
826749,0,0.6,0,34.6,2,16.4,2.75,7,0.2
254488,0,0,0,0.2,0,0.8,0,2,0
4467447,0,0,0,0,0,0,15,0,0
4433823,0.4,0,0,0,0,0,0,0,0
1135084,0,0,0,0,0,0,0,6,0
4390319,0,0,0,15.6,0,0,42,20.2,0
606755,0,0,0,0,0,0,0,0,0
227654,0,0,0,0,0,0,0,0,0
110974,0,0,9.8,0,2,1.6,1.5,4.6,1.8
752012,0,195.6,195.6,318.2,413.6,330.2,447,278.8,9.6
1772340,0,0,0,0,0,0,0,0,0
4440944,0,0.4,0,1.8,2.4,39.8,38.5,1,0.2
1639372,0,0,0,0.8,0,0,0,11,1.6
1126475,0,0,0,0,0,0,0,0,4
2368719,0,11.6,0,0,0.2,87,15.75,0,0
828941,0,0,0,0.4,19.6,129.6,14.75,49.8,0
4341023,0,0,0,4.4,0,0,0,0,0
932153,0.6,0.6,0.2,1.2,0.8,0.6,1,1.6,1.6
561099,0,0,0,16,0,0,0,0,0
227112,0,0,0,14,0,0,0,0,0
896098,0,0,0,0.4,0,0,0,0,16
919627,0,0,0,0,0,0,0,0,0.1
101031,0,0.6,9.4,0,0.8,0,1.75,0.8,0
1139946,0.6,0.2,5.6,102.6,48,47.4,35,33,0.1
429841,0,0,2.4,0.4,18.4,1.6,1.75,0,0
3427116,285.8,0,0,0,0,0,0,0,0
151117,3.2,0,0,0.4,0,0,0,0,0.9
4438548,4.2,0,0,0,0,0,0,0,0
99774,13.4,0,0,1.6,0.2,0,0,0,0.7
626519,24.4,0,0,0,0,0,0,0,0
99956,0,0,0,0,0,0,0,0,0
1122504,0,0,0,0,0,0,0,0,0
921687,0,0,0,0,0,0,0,0,0
3642506,0,0.2,1.6,2.6,12,0,0.75,21,0.1
736520,0,23.6,7.8,13,273.8,1,3.75,565,9.3
771274,0,0,0,0,0,0,0,0,0
536765,0,0,0,0,0.2,0,0,0,15.5
854930,0,0,15,47.2,94.4,40.4,503.75,684.8,224.3
27005,0,0,0,0,0,0.2,0,0,1.6
4377486,0,0,0,0,0,0,0,0,1
4043609,0,27.4,2.4,0.6,5,387.4,425,76.8,0
570086,0,0,0,0,0,0,0,0,0
2255,0,0,0,0,0,0,0,0,0
3995174,0,0,0,0,0,0,2.5,1.8,0.9
1087471,0,0,0,0,0,0,0,0,0
1006382,0,0,0,0,0,0,0,0,0
4477202,0,1,0,13.4,3,5.8,0,0,59.9
4342317,0,0,0,0,0,0,0,0,0.3
1086554,0,0,0,0,0,1.2,1.5,0,0.3
4377483,0,0,0,0,0,0,0,0.2,0
706656,0,0,0,0,0,21.8,0.75,0,0.6
134018,0,0,0,0,0,0,0.25,0,0
356639,0,0,0,0,0,0,0,0,0
944401,0,0,0,0,0,0,0,0,0.1
826144,6.6,0,4.4,0.6,4.8,0.4,0.25,8.4,0.3
1102477,0,0,0,0,0,0,0,0,9.7
1038865,0,0,0,0,0,0,0,0,0
1109260,0,0,0,0,0,0,0,0,0.8
4391549,8.6,0,0,0,0.4,0,0.25,13.6,283.8
575305,0.2,0,0,0,0,0,0,0.2,6
4320526,0,0,0,0,0,0,0,0.2,14.7
128353,0,0.8,1,0,1.2,0,0.5,2.2,0.3
982540,0,0,0,0,0.4,0,0,0,8.7
567236,0,0,0,0,0,0,0,0.2,2.9
221402,0,0,0,0,0.4,0,0,0,0.1
810109,0,0,0,0.2,0.8,1.2,0.25,0.4,0.1
371510,0,0,0,0,0,0,0,0,0.3
1088120,0,4.2,5.8,63,9,16,3.5,12.4,32.5
348099,0,0,0,0,0,0,0,0,0
4042106,0,22.6,114.8,742.4,310.4,454.4,542.5,123.6,4
44075,0,0,0.8,0.4,1,0.2,0.5,0.6,0.2
757229,0,0,3,9,3.4,12.6,6.75,1.2,0.1
221497,0,5.2,2.4,0.6,6.8,0.6,2.5,1.6,3.6
718367,0,0,7,0,1.4,0.8,0,0.6,0
635391,0,0,4.4,0.8,5.6,0,2.75,14.4,0.6
